사업소,호기,일자,SOX,SOX기준,NOX,NOX기준,먼지,먼지기준,산소,유량,온도,SOX기준초과,NOX기준초과,먼지기준초과,기준초과,용량(MW),발전량(MWh),열효율(%),이용률(%),발전원,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm)
분당,1호기,20230101,,35.0,2.24,100.0,,15.0,20.78,63.8,40.38,0,0,0,0,77.76,54514.0,28.43,94.23,복합,-2.1,-6.6,3.5,,7.1,267.2,1342.0,4.2,290.0,1428.0,1.8,156240.0,290.0,-9.0,35.4,1256.0,63.0,3.2,,,,,
분당,2호기,20230101,,35.0,10.47,100.0,,15.0,15.45,52086.15,145.54,0,0,0,0,77.76,23067.0,27.61,39.87,복합,-2.1,-6.6,3.5,,7.1,267.2,1342.0,4.2,290.0,1428.0,1.8,156240.0,290.0,-9.0,35.4,1256.0,63.0,3.2,,,,,
분당,3호기,20230101,,35.0,9.61,100.0,,15.0,15.52,57196.79,122.21,0,0,0,0,77.76,62434.0,29.51,107.92,복합,-2.1,-6.6,3.5,,7.1,267.2,1342.0,4.2,290.0,1428.0,1.8,156240.0,290.0,-9.0,35.4,1256.0,63.0,3.2,,,,,
분당,4호기,20230101,,35.0,10.38,100.0,,15.0,15.51,55297.96,104.23,0,0,0,0,77.76,19150.0,29.39,33.1,복합,-2.1,-6.6,3.5,,7.1,267.2,1342.0,4.2,290.0,1428.0,1.8,156240.0,290.0,-9.0,35.4,1256.0,63.0,3.2,,,,,
분당,5호기,20230101,,35.0,10.46,100.0,,15.0,15.46,58676.38,105.3,0,0,0,0,77.76,61941.0,29.69,107.07,복합,-2.1,-6.6,3.5,,7.1,267.2,1342.0,4.2,290.0,1428.0,1.8,156240.0,290.0,-9.0,35.4,1256.0,63.0,3.2,,,,,
분당,6호기,20230101,,35.0,7.97,100.0,,15.0,15.59,53715.6,110.46,0,0,0,0,77.76,58894.0,29.33,101.8,복합,-2.1,-6.6,3.5,,7.1,267.2,1342.0,4.2,290.0,1428.0,1.8,156240.0,290.0,-9.0,35.4,1256.0,63.0,3.2,,,,,
분당,7호기,20230101,,35.0,7.33,100.0,,15.0,15.4,59320.62,105.81,0,0,0,0,77.76,45806.0,28.89,79.18,복합,-2.1,-6.6,3.5,,7.1,267.2,1342.0,4.2,290.0,1428.0,1.8,156240.0,290.0,-9.0,35.4,1256.0,63.0,3.2,,,,,
분당,8호기,20230101,,35.0,1.61,100.0,,15.0,20.83,190.4,18.0,0,0,0,0,77.76,58869.0,29.27,101.76,복합,-2.1,-6.6,3.5,,7.1,267.2,1342.0,4.2,290.0,1428.0,1.8,156240.0,290.0,-9.0,35.4,1256.0,63.0,3.2,,,,,
분당,1호기,20230102,,35.0,2.87,100.0,,15.0,20.85,36.01,26.45,0,0,0,0,77.76,54514.0,28.43,94.23,복합,-5.6,-9.1,-1.7,,7.1,247.5,1541.0,4.2,290.0,955.0,2.0,173520.0,290.0,-13.5,35.0,1311.0,55.0,2.2,,,,,
분당,2호기,20230102,,35.0,10.42,100.0,,15.0,15.8,49068.42,146.34,0,0,0,0,77.76,23067.0,27.61,39.87,복합,-5.6,-9.1,-1.7,,7.1,247.5,1541.0,4.2,290.0,955.0,2.0,173520.0,290.0,-13.5,35.0,1311.0,55.0,2.2,,,,,
분당,3호기,20230102,,35.0,10.22,100.0,,15.0,15.52,58114.17,122.7,0,0,0,0,77.76,62434.0,29.51,107.92,복합,-5.6,-9.1,-1.7,,7.1,247.5,1541.0,4.2,290.0,955.0,2.0,173520.0,290.0,-13.5,35.0,1311.0,55.0,2.2,,,,,
분당,4호기,20230102,,35.0,9.88,100.0,,15.0,15.56,55723.22,105.3,0,0,0,0,77.76,19150.0,29.39,33.1,복합,-5.6,-9.1,-1.7,,7.1,247.5,1541.0,4.2,290.0,955.0,2.0,173520.0,290.0,-13.5,35.0,1311.0,55.0,2.2,,,,,
분당,5호기,20230102,,35.0,10.1,100.0,,15.0,15.58,58349.94,106.41,0,0,0,0,77.76,61941.0,29.69,107.07,복합,-5.6,-9.1,-1.7,,7.1,247.5,1541.0,4.2,290.0,955.0,2.0,173520.0,290.0,-13.5,35.0,1311.0,55.0,2.2,,,,,
분당,6호기,20230102,,35.0,7.72,100.0,,15.0,15.67,54000.44,113.33,0,0,0,0,77.76,58894.0,29.33,101.8,복합,-5.6,-9.1,-1.7,,7.1,247.5,1541.0,4.2,290.0,955.0,2.0,173520.0,290.0,-13.5,35.0,1311.0,55.0,2.2,,,,,
분당,7호기,20230102,,35.0,6.85,100.0,,15.0,15.41,59384.22,108.22,0,0,0,0,77.76,45806.0,28.89,79.18,복합,-5.6,-9.1,-1.7,,7.1,247.5,1541.0,4.2,290.0,955.0,2.0,173520.0,290.0,-13.5,35.0,1311.0,55.0,2.2,,,,,
분당,8호기,20230102,,35.0,6.64,100.0,,15.0,17.68,36897.59,74.08,0,0,0,0,77.76,58869.0,29.27,101.76,복합,-5.6,-9.1,-1.7,,7.1,247.5,1541.0,4.2,290.0,955.0,2.0,173520.0,290.0,-13.5,35.0,1311.0,55.0,2.2,,,,,
분당,1호기,20230103,,35.0,3.39,100.0,,15.0,20.85,30.71,21.52,0,0,0,0,77.76,54514.0,28.43,94.23,복합,-6.3,-11.4,-0.2,,6.6,247.5,1413.0,4.0,270.0,1544.0,1.3,111240.0,270.0,-12.6,37.2,1317.0,63.0,2.3,,,,,
